7.00;0.00;0.00

6.59;2.16;0.50

5.43;4.00;0.97

3.74;5.25;1.38

1.80;5.78;1.70

-0.09;5.59;1.91

-1.67;4.81;2.00

-2.78;3.65;1.96

-3.39;2.33;1.79

-3.54;1.04;1.51

-3.35;-0.11;1.13

-2.93;-1.07;0.68

-2.37;-1.86;0.19

-1.68;-2.52;-0.32

-0.84;-3.05;-0.80

0.16;-3.42;-1.24

1.35;-3.54;-1.59

2.67;-3.28;-1.84

3.97;-2.55;-1.98

5.05;-1.31;-1.99

5.70;0.36;-1.87

5.72;2.29;-1.63

5.00;4.20;-1.29

3.59;5.78;-0.86

1.64;6.77;-0.38

-0.55;6.97;0.13

-2.67;6.36;0.62

-4.38;5.05;1.08

-5.45;3.27;1.47

-5.80;1.31;1.76

-5.45;-0.52;1.94

-4.55;-1.99;2.00

-3.33;-2.98;1.93

-2.00;-3.46;1.73

-0.74;-3.52;1.43

0.36;-3.26;1.03

1.28;-2.80;0.56

2.04;-2.20;0.06

2.66;-1.48;-0.44

3.16;-0.61;-0.92

3.48;0.44;-1.33

3.51;1.67;-1.67

3.15;3.00;-1.89

2.29;4.27;-1.99

0.93;5.27;-1.97

-0.83;5.77;-1.82

-2.78;5.61;-1.55

-4.64;4.71;-1.19

-6.09;3.14;-0.74

-6.90;1.10;-0.25

-6.90;-1.10;0.25

-6.09;-3.14;0.74

-4.64;-4.71;1.19

-2.78;-5.61;1.55

-0.83;-5.77;1.82

0.93;-5.27;1.97

2.29;-4.27;1.99

3.15;-3.00;1.89

3.51;-1.67;1.67

3.48;-0.44;1.33

3.16;0.61;0.92

2.66;1.48;0.44

2.04;2.20;-0.06

1.28;2.80;-0.56

0.36;3.26;-1.03

-0.74;3.52;-1.43

-2.00;3.46;-1.73

-3.33;2.98;-1.93

-4.55;1.99;-2.00

-5.45;0.52;-1.94

-5.80;-1.31;-1.76

-5.45;-3.27;-1.47

-4.38;-5.05;-1.08

-2.67;-6.36;-0.62

-0.55;-6.97;-0.13

1.64;-6.77;0.38

3.59;-5.78;0.86

5.00;-4.20;1.29

5.72;-2.29;1.63

5.70;-0.36;1.87

5.05;1.31;1.99

3.97;2.55;1.98

2.67;3.28;1.84

1.35;3.54;1.59

0.16;3.42;1.24

-0.84;3.05;0.80

-1.68;2.52;0.32

-2.37;1.86;-0.19

-2.93;1.07;-0.68

-3.35;0.11;-1.13

-3.54;-1.04;-1.51

-3.39;-2.33;-1.79

-2.78;-3.65;-1.96

-1.67;-4.81;-2.00

-0.09;-5.59;-1.91

1.80;-5.78;-1.70

3.74;-5.25;-1.38

5.43;-4.00;-0.97

6.59;-2.16;-0.50

7.00;-0.00;-0.00
